time,ACC_x,ACC_y,ACC_z,GYRO_x,GYRO_y,GYRO_z,MAG_x,MAG_y,MAG_z,D1,D2,BTN1,BTN2
1776672035.715073,12,10,253,-791,31,-13,162,-126,-431,3,0,0,0
1776672035.8428078,13,10,253,-778,52,-3,163,-128,-432,3,0,0,0
1776672035.9693692,12,12,254,-753,35,-5,165,-128,-432,3,0,0,0
1776672036.0951345,13,11,253,-800,49,-11,164,-127,-432,3,0,0,0
1776672036.222291,12,11,253,-793,19,-24,164,-128,-432,3,0,0,0
1776672036.34781,13,10,254,-784,3,-24,164,-128,-432,3,0,0,0
1776672036.4747362,12,12,253,-779,53,-22,164,-128,-433,3,0,0,0
1776672036.6024406,13,10,252,-782,43,-7,164,-128,-433,3,0,0,0
1776672036.7273338,13,10,254,-790,36,-7,163,-127,-432,3,0,0,0
1776672036.8556764,12,12,253,-792,26,-33,163,-129,-430,3,0,0,0
1776672036.9809878,12,11,255,-807,33,-15,164,-128,-432,3,0,0,0
1776672037.1074395,13,10,253,-793,38,-2,164,-128,-432,3,0,0,0
1776672037.2348561,13,12,253,-795,31,15,164,-127,-432,3,0,0,0
1776672037.3603795,13,10,255,-795,47,7,163,-128,-432,3,0,0,0
1776672037.487958,12,12,254,-808,31,-4,163,-127,-432,3,0,0,0
1776672037.6132984,12,12,253,-790,39,-6,164,-128,-432,3,0,0,0
1776672037.7398605,13,12,253,-761,18,-18,163,-128,-432,3,0,0,0
1776672037.8668733,12,12,253,-772,35,-7,164,-126,-432,3,0,0,0
1776672037.993283,12,11,254,-784,50,9,163,-129,-433,3,0,0,0
1776672038.1197724,12,11,255,-798,40,-12,164,-128,-432,3,0,0,0
1776672038.2465267,13,11,254,-805,27,-7,163,-128,-433,3,0,0,0
1776672038.3729753,13,10,253,-736,13,-5,163,-127,-432,3,0,0,0
1776672038.4988985,12,12,253,-793,36,-17,163,-128,-432,3,0,0,0
1776672038.6262364,12,11,254,-777,47,-11,163,-127,-433,3,0,0,0
1776672038.7526736,12,12,254,-787,44,1,164,-129,-426,3,0,0,0
1776672038.8784156,12,11,253,-811,27,-21,164,-127,-433,3,0,0,0
1776672039.005499,13,10,254,-780,33,-28,163,-128,-431,3,0,0,0
1776672039.132532,12,10,252,-773,48,-13,163,-128,-432,3,0,0,0
1776672039.2586086,12,12,253,-777,47,-27,163,-129,-432,3,0,0,0
1776672039.3856754,12,11,253,-798,41,3,164,-128,-432,3,0,0,0
1776672039.5121586,13,12,254,-777,44,-3,164,-127,-432,3,0,0,0
1776672039.6389682,12,11,253,-798,60,-17,164,-128,-432,3,0,0,0
1776672039.7647285,12,12,254,-814,40,-11,163,-129,-432,3,0,0,0
1776672039.8914983,12,11,253,-774,29,-27,164,-128,-433,3,0,0,0
1776672040.0181775,13,10,253,-806,13,-10,163,-128,-433,3,0,0,0
1776672040.1446114,12,12,253,-794,29,-39,163,-128,-433,3,0,0,0
1776672040.272086,13,11,253,-780,33,-14,164,-128,-432,3,0,0,0
1776672040.3977668,12,12,253,-816,61,26,165,-128,-434,3,0,0,0
1776672040.5240097,13,12,254,-787,14,-12,164,-129,-432,3,0,0,0
1776672040.6511936,12,11,254,-809,23,-22,163,-129,-433,3,0,0,0
1776672040.777504,13,11,253,-809,30,-39,164,-127,-433,3,0,0,0
1776672040.9039924,12,11,252,-797,34,19,163,-128,-433,3,0,0,0
1776672041.0303073,13,11,253,-779,30,-19,163,-129,-432,3,0,0,0
1776672041.1569548,12,12,256,-801,74,-7,163,-127,-433,3,0,0,0
1776672041.2830708,12,11,253,-794,19,-31,164,-127,-433,3,0,0,0
1776672041.4091997,13,10,255,-817,35,4,163,-128,-433,3,0,0,0
1776672041.5361466,12,10,253,-787,25,-2,164,-128,-433,3,0,0,0
1776672041.6636734,13,11,253,-814,58,-11,164,-128,-433,3,0,0,0
1776672041.78902,13,12,253,-794,16,-18,164,-128,-433,3,0,0,0
1776672041.9155982,12,11,254,-816,47,-12,164,-128,-432,3,0,0,0
1776672042.0427163,13,11,254,-757,47,-27,162,-129,-432,3,0,0,0
1776672042.170098,12,11,252,-803,31,-12,163,-127,-432,3,0,0,0
1776672042.2963083,13,12,254,-772,32,-20,163,-127,-432,3,0,0,0
1776672042.4221087,12,11,254,-792,43,0,164,-129,-431,3,0,0,0
1776672042.5485778,13,12,252,-788,26,-29,163,-127,-432,3,0,0,0
1776672042.6757603,13,10,253,-808,51,-10,163,-128,-432,3,0,0,0
1776672042.802295,13,11,253,-797,31,-13,164,-128,-433,3,0,0,0
1776672042.9280279,13,11,253,-801,30,9,163,-128,-433,3,0,0,0
1776672043.055811,14,11,251,-1057,66,4,163,-128,-433,3,0,0,0
1776672043.1813002,13,11,253,-828,34,-14,164,-128,-433,3,0,0,0
1776672043.307927,13,11,255,-849,36,0,163,-127,-432,3,0,0,0
1776672043.4345205,12,11,253,-799,18,-31,163,-128,-432,3,0,0,0
1776672043.560323,12,11,253,-805,73,-17,163,-128,-432,3,0,0,0
1776672043.6881046,13,11,254,-787,41,-28,163,-128,-432,3,0,0,0
1776672043.813777,13,11,253,-782,20,-3,163,-127,-433,3,0,0,0
1776672043.941461,12,13,252,-806,38,9,162,-127,-432,3,0,0,0
1776672044.0686767,13,11,253,-801,40,-20,163,-128,-433,3,0,0,0
1776672044.1947355,13,11,254,-775,15,-25,164,-129,-432,3,0,0,0
1776672044.3211317,12,10,253,-786,28,11,164,-128,-432,3,0,0,0
1776672044.4465497,11,11,253,-814,41,2,163,-128,-432,3,0,0,0
1776672044.5729997,12,12,254,-808,44,-7,164,-128,-432,3,0,0,0
1776672044.6990254,13,12,254,-802,37,-20,163,-128,-433,3,0,0,0
1776672044.8259506,13,11,253,-788,32,-25,164,-127,-432,3,0,0,0
1776672044.9531415,11,12,254,-805,45,-11,163,-129,-432,3,0,0,0
1776672045.0791745,13,11,252,-764,56,1,163,-128,-432,3,0,0,0
1776672045.2051554,13,10,253,-811,30,-18,165,-128,-432,3,0,0,0
1776672045.3332868,13,12,253,-772,59,-11,165,-128,-430,3,0,0,0
1776672045.4590745,13,11,254,-801,29,-3,164,-127,-432,3,0,0,0
1776672045.586596,12,11,253,-775,40,-29,163,-128,-431,3,0,0,0
1776672045.7124915,12,12,252,-772,42,-2,162,-128,-432,3,0,0,0
1776672045.8380055,13,12,253,-812,44,2,163,-128,-432,3,0,0,0
1776672045.9655266,13,10,253,-823,56,-9,164,-127,-433,3,0,0,0
1776672046.0914216,13,10,254,-781,28,-12,163,-128,-432,3,0,0,0
1776672046.2195728,13,10,254,-783,40,-30,163,-129,-432,3,0,0,0
1776672046.34524,12,11,253,-782,43,-21,164,-128,-433,3,0,0,0
1776672046.4717424,12,10,254,-801,51,-11,164,-128,-431,3,0,0,0
1776672046.5979114,12,11,254,-799,65,3,163,-129,-433,3,0,0,0
1776672046.724571,12,11,254,-794,15,-36,164,-129,-432,3,0,0,0
1776672046.8510585,13,10,253,-798,24,11,164,-129,-433,3,0,0,0
1776672046.9771485,13,12,254,-835,19,-23,164,-127,-432,3,0,0,0
1776672047.1032538,12,11,254,-787,47,-7,164,-127,-431,3,0,0,0
1776672047.2303555,12,10,254,-796,39,-31,163,-128,-431,3,0,0,0
1776672047.3564,11,12,253,-781,26,-4,163,-128,-433,3,0,0,0
1776672047.4837434,13,11,254,-810,47,-26,164,-129,-432,3,0,0,0
1776672047.611132,13,11,254,-786,42,5,164,-127,-432,3,0,0,0
1776672047.7372708,12,10,253,-787,37,-19,163,-127,-431,3,0,0,0
1776672047.8634734,12,12,253,-804,53,-17,164,-128,-432,3,0,0,0
1776672047.9905078,13,11,253,-789,60,-7,164,-127,-433,3,0,0,0
1776672048.1175923,11,11,253,-792,35,-15,163,-128,-433,3,0,0,0
1776672048.2429755,13,12,254,-794,17,-9,163,-128,-432,3,0,0,0
1776672048.369596,12,10,252,-769,30,-23,163,-128,-432,3,0,0,0
1776672048.4960387,13,10,254,-806,63,-18,163,-128,-431,3,0,0,0
1776672048.6229985,12,11,254,-788,41,-11,163,-128,-432,3,0,0,0
1776672048.7480989,12,12,253,-778,39,-2,163,-129,-432,3,0,0,0
1776672048.8752482,13,11,252,-798,26,-19,164,-128,-433,3,0,0,0
1776672049.001516,13,10,253,-816,25,-7,164,-126,-432,3,0,0,0
1776672049.1290445,12,12,253,-793,26,0,164,-127,-432,3,0,0,0
1776672049.2552254,12,10,253,-813,82,39,163,-127,-432,3,0,0,0
1776672049.3811357,13,10,254,-815,47,-19,164,-128,-432,3,0,0,0
1776672049.507471,12,10,254,-791,41,-12,163,-128,-432,3,0,0,0
1776672049.6354723,14,11,254,-749,-2,-72,163,-128,-432,3,0,0,0
1776672049.7613645,13,11,254,-797,38,-32,163,-127,-432,3,0,0,0
1776672049.8876228,12,11,253,-808,56,-23,163,-127,-433,3,0,0,0
1776672050.014298,14,11,254,-783,-19,-56,163,-127,-432,3,0,0,0
1776672050.1411314,13,11,252,-806,40,-5,164,-128,-432,3,0,0,0
1776672050.2681768,13,11,254,-783,46,-4,163,-127,-433,3,0,0,0
1776672050.3940585,13,11,254,-804,8,-36,164,-127,-433,3,0,0,0
1776672050.522046,13,11,254,-809,55,10,163,-128,-432,3,0,0,0
1776672050.6467664,12,11,254,-776,7,-2,163,-128,-432,3,0,0,0
1776672050.7739034,12,11,253,-786,27,12,164,-127,-433,3,0,0,0
1776672050.9001539,13,11,254,-820,32,-14,163,-129,-433,3,0,0,0
1776672051.0262005,12,11,252,-845,42,-13,163,-128,-433,3,0,0,0
1776672051.1532001,14,11,254,-814,12,-15,164,-127,-433,3,0,0,0
1776672051.2802038,12,11,254,-780,45,-12,163,-128,-433,3,0,0,0
1776672051.4059718,12,11,254,-800,46,-8,164,-127,-434,3,0,0,0
1776672051.5333173,14,11,253,-818,39,3,164,-128,-433,3,0,0,0
1776672051.659049,13,11,254,-787,28,-22,163,-128,-433,3,0,0,0
1776672051.7865222,12,12,252,-800,21,-11,164,-129,-433,3,0,0,0
1776672051.912467,12,11,254,-787,22,-28,164,-128,-431,3,0,0,0
1776672052.0390074,13,11,254,-779,-10,-36,163,-129,-432,3,0,0,0
1776672052.1659584,12,11,254,-766,44,14,163,-128,-434,3,0,0,0
1776672052.29261,12,11,254,-797,37,-44,162,-128,-432,3,0,0,0
1776672052.4189749,13,11,254,-781,59,6,163,-127,-433,3,0,0,0
1776672052.5452461,12,11,253,-819,35,-10,163,-128,-432,3,0,0,0
1776672052.671467,13,11,253,-806,46,0,163,-128,-433,3,0,0,0
1776672052.7977269,11,12,253,-802,45,-31,164,-128,-433,3,0,0,0
1776672052.9245467,13,10,253,-797,45,-15,165,-129,-433,3,0,0,0
1776672053.05143,12,12,253,-786,35,-26,164,-129,-432,3,0,0,0
1776672053.1777523,13,11,254,-790,20,-17,165,-129,-433,3,0,0,0
1776672053.3046045,12,12,253,-784,27,-23,163,-128,-432,3,0,0,0
1776672053.4304285,12,10,253,-779,0,-19,163,-129,-433,3,0,0,0
1776672053.5576234,13,10,254,-803,22,-29,163,-128,-432,3,0,0,0
1776672053.684617,11,11,254,-798,8,-16,163,-128,-433,3,0,0,0
1776672053.8106058,12,11,254,-765,37,-17,163,-129,-431,3,0,0,0
1776672053.9378552,12,12,253,-803,40,-15,163,-129,-433,3,0,0,0
1776672054.0635736,12,12,253,-773,50,-30,163,-129,-433,3,0,0,0
1776672054.1904988,13,10,254,-801,22,-21,163,-128,-433,3,0,0,0
1776672054.317533,13,11,254,-785,48,4,164,-128,-433,3,0,0,0
1776672054.4437592,12,11,252,-785,31,-3,164,-129,-433,3,0,0,0
1776672054.5700884,14,11,253,-792,33,-23,163,-128,-432,3,0,0,0
1776672054.696634,12,10,253,-819,33,-4,163,-129,-433,3,0,0,0
1776672054.8232496,13,10,254,-813,23,-29,164,-129,-432,3,0,0,0
1776672054.9490833,12,11,253,-789,18,-15,163,-129,-433,3,0,0,0
1776672055.0759838,13,11,253,-776,3,-11,164,-128,-433,3,0,0,0
1776672055.2026253,12,10,253,-797,52,-16,163,-128,-433,3,0,0,0
1776672055.3291502,14,11,254,-778,33,-21,163,-128,-433,3,0,0,0
1776672055.4555428,12,11,254,-809,19,-34,163,-129,-433,3,0,0,0
1776672055.5821133,12,12,253,-774,51,-2,164,-128,-432,3,0,0,0
1776672055.70888,12,10,253,-760,46,-9,164,-129,-431,3,0,0,0
1776672055.8361113,11,11,253,-796,64,-14,163,-128,-432,3,0,0,0
1776672055.9620087,12,11,253,-812,51,-7,163,-127,-432,3,0,0,0
1776672056.088375,12,11,253,-797,36,-19,163,-127,-432,3,0,0,0
1776672056.2147658,12,10,253,-801,44,8,164,-128,-432,3,0,0,0
1776672056.3410685,12,13,251,-817,46,7,163,-128,-433,3,0,0,0
1776672056.4682527,13,12,253,-794,32,-2,164,-128,-433,3,0,0,0
1776672056.5942447,15,11,250,-850,13,-8,163,-128,-434,3,0,0,0
1776672056.7208245,12,10,253,-778,32,-28,163,-129,-433,3,0,0,0
1776672056.8462176,13,11,254,-779,64,-13,163,-129,-433,3,0,0,0
1776672056.973926,11,11,254,-796,58,-25,163,-128,-434,3,0,0,0
1776672057.1000612,13,11,252,-790,40,17,164,-129,-433,3,0,0,0
1776672057.2264478,14,11,254,-778,11,-51,164,-127,-433,3,0,0,0
1776672057.3537197,13,11,252,-793,14,-24,162,-128,-432,3,0,0,0
1776672057.4806209,13,11,253,-813,36,-10,163,-128,-433,3,0,0,0
1776672057.6064792,12,11,253,-796,61,12,162,-128,-433,3,0,0,0
1776672057.7343206,11,13,254,-780,21,-11,162,-128,-433,3,0,0,0
1776672057.8598526,13,10,254,-822,52,0,164,-127,-433,3,0,0,0
1776672057.9869137,12,11,252,-777,34,-10,164,-128,-433,3,0,0,0
1776672058.1135814,12,11,253,-789,52,-13,164,-128,-433,3,0,0,0
1776672058.2398777,13,12,253,-795,27,3,163,-127,-433,3,0,0,0
1776672058.3667617,11,11,253,-781,22,-51,165,-128,-433,3,0,0,0
1776672058.4928272,13,10,253,-799,44,-9,164,-128,-433,3,0,0,0
1776672058.61944,13,12,253,-798,46,-1,162,-127,-432,3,0,0,0
1776672058.7459612,12,10,253,-800,51,-13,164,-127,-433,3,0,0,0
1776672058.8720663,12,11,254,-800,42,-3,164,-128,-433,3,0,0,0
1776672058.9999945,13,11,254,-813,58,-19,163,-128,-433,3,0,0,0
1776672059.1251724,13,11,253,-777,28,-12,164,-127,-433,3,0,0,0
1776672059.2535238,12,11,253,-691,72,-14,163,-128,-434,3,0,0,0
1776672059.3789353,12,11,254,-760,24,-53,165,-127,-433,3,0,0,0
1776672059.5051334,14,12,253,-800,85,-10,164,-128,-432,3,0,0,0
1776672059.631939,11,12,252,-809,31,-17,163,-128,-433,3,0,0,0
1776672059.7587044,12,12,253,-827,34,-7,164,-128,-433,3,0,0,0
1776672059.8849356,12,11,255,-792,51,-14,163,-127,-433,3,0,0,0
1776672060.0115333,12,11,253,-804,44,8,164,-129,-433,3,0,0,0
1776672060.138962,13,10,255,-759,47,-23,163,-128,-432,3,0,0,0
1776672060.2645862,12,11,254,-787,64,-11,163,-128,-432,3,0,0,0
1776672060.3909483,12,11,254,-799,36,-28,165,-128,-433,3,0,0,0
1776672060.5177603,12,12,254,-789,56,-30,164,-127,-433,3,0,0,0
1776672060.644161,13,11,255,-754,-1,-37,163,-128,-433,3,0,0,0
1776672060.7714903,12,11,254,-788,43,-28,164,-128,-433,3,0,0,0
